"","gene","DSC_27.readcounts","DSC_28.readcounts","DSC_29.readcounts","DSC_30.readcounts","DSC_31.readcounts","MC_27.readcounts","MC_28.readcounts","MC_29.readcounts","MC_30.readcounts","MC_31.readcounts"
"12110","ENSG00000227709",0,0,0,0,0,0,3,0,1,0
"12111","ENSG00000240596",0,0,0,0,0,0,0,0,0,0
"12112","ENSG00000242370",0,0,0,0,0,0,0,0,0,2
"12113","ENSG00000272990",22,17,22,17,37,8,8,0,33,17
"12114","ENSG00000114850",4883,4255,4585,3532,4008,3999,3564,2897,3319,2681
"12115","ENSG00000243926",7,6,3,3,3,9,17,3,14,8
"12116","ENSG00000163659",901,539,867,735,922,474,458,221,240,176
"12117","ENSG00000174912",7,3,1,7,5,3,3,4,13,0
"12118","ENSG00000240875",16,12,24,16,27,11,42,13,25,23
"12119","ENSG00000230457",12,35,26,30,15,42,59,35,22,13
"12120","ENSG00000197980",9,8,9,9,18,10,13,12,8,14
"12121","ENSG00000241879",0,0,0,0,0,0,0,0,0,0
"12122","ENSG00000239706",0,0,0,0,0,0,0,0,0,0
"12123","ENSG00000222499",0,0,0,0,0,0,0,0,0,0
"12124","ENSG00000243629",0,0,0,1,0,1,0,0,0,0
"12125","ENSG00000241544",0,0,0,1,2,1,0,0,0,0
"12126","ENSG00000241135",0,0,2,1,0,0,0,6,3,0
"12127","ENSG00000163660",2413,2931,2974,2358,3023,4507,2909,1361,3617,3065
"12128","ENSG00000201778",0,0,0,0,0,0,0,0,0,0
"12129","ENSG00000244515",2,0,3,7,3,12,10,0,9,0
"12130","ENSG00000241770",1,1,2,0,0,2,1,0,0,0
"12131","ENSG00000222675",0,0,0,0,0,0,0,0,0,0
"12132","ENSG00000243176",35,20,29,29,16,62,78,38,74,40
"12133","ENSG00000270981",2,0,0,0,0,0,5,0,2,4
"12134","ENSG00000286361",0,0,0,0,0,1,17,7,14,15
"12135","ENSG00000197415",309,179,125,83,116,2043,2011,2248,3466,2641
"12136","ENSG00000163661",2291,1342,807,717,1053,55,14,2,2,3
"12137","ENSG00000174899",21,3,3,0,3,80,122,71,88,56
"12138","ENSG00000286892",1,0,0,0,2,0,2,2,0,1
"12139","ENSG00000242536",0,0,0,0,0,0,0,0,0,0
"12140","ENSG00000251751",0,0,0,0,0,0,0,0,0,0
"12141","ENSG00000239716",0,0,0,0,0,0,0,4,0,0
"12142","ENSG00000168779",167,20,6,3,5,0,0,0,0,0
"12143","ENSG00000174891",267,377,407,314,478,393,135,83,289,237
"12144","ENSG00000241723",0,0,0,0,0,0,0,2,0,0
"12145","ENSG00000277143",0,4,0,1,0,0,0,0,0,0
"12146","ENSG00000243314",1,0,0,0,2,1,0,1,0,0
"12147","ENSG00000243150",0,0,0,0,2,0,0,0,1,0
"12148","ENSG00000178053",292,394,345,340,408,94,198,123,201,143
"12149","ENSG00000243025",0,0,0,0,0,0,0,1,4,0
"12150","ENSG00000243165",0,0,0,0,0,0,0,0,0,0
"12151","ENSG00000168827",1184,1309,1487,1051,1372,1872,1210,627,852,835
"12152","ENSG00000079257",147,205,188,163,169,582,497,158,474,235
"12153","ENSG00000272087",11,23,30,17,28,23,9,29,11,8
"12154","ENSG00000272440",13,12,7,6,5,3,5,6,5,9
"12155","ENSG00000118849",57,150,67,90,85,19,16,10,34,13
"12156","ENSG00000118855",2028,2360,2161,1603,1855,1881,1168,796,1061,874
"12157","ENSG00000240207",9,24,18,18,19,25,6,17,20,8
"12158","ENSG00000243675",1,0,0,0,1,0,0,0,0,0
"12159","ENSG00000271778",6,4,2,5,7,4,1,3,3,5
"12160","ENSG00000272247",1,4,0,0,1,3,0,0,0,0
"12161","ENSG00000232374",0,0,1,0,1,1,1,0,0,1
"12162","ENSG00000279311",11,9,5,8,5,18,4,7,9,4
"12163","ENSG00000283154",913,767,508,632,475,11,0,0,9,5
"12164","ENSG00000214216",0,1,1,0,0,3,0,0,0,0
"12165","ENSG00000263634",0,0,0,0,0,0,0,0,0,0
"12166","ENSG00000244249",0,0,0,0,0,0,1,0,0,0
"12167","ENSG00000286913",1,3,2,2,6,1,0,0,0,0
"12168","ENSG00000243116",0,0,1,0,0,0,0,0,0,0
"12169","ENSG00000241211",10,6,11,8,5,0,0,0,0,2
"12170","ENSG00000252763",0,0,2,0,0,0,0,1,0,0
"12171","ENSG00000151967",342,450,435,409,415,18,0,17,22,24
"12172","ENSG00000244040",6,2,2,1,8,0,0,2,0,1
"12173","ENSG00000168811",20,6,6,6,5,5,3,7,4,3
"12174","ENSG00000242107",0,0,0,0,0,0,0,0,0,0
"12175","ENSG00000184100",7,27,17,26,15,12,35,23,11,14
"12176","ENSG00000180044",100,31,7,5,5,0,0,3,0,1
"12177","ENSG00000248710",0,0,0,0,0,1,0,0,0,0
"12178","ENSG00000068885",667,761,754,468,746,751,402,649,888,701
"12179","ENSG00000243687",0,0,0,0,0,0,0,0,2,0
"12180","ENSG00000113810",1185,1720,1915,1373,1663,2672,246,138,620,426
"12181","ENSG00000207779",0,0,0,0,0,0,0,0,0,0
"12182","ENSG00000198987",0,0,0,0,0,0,0,0,0,0
"12183","ENSG00000213186",174,242,206,152,151,169,64,24,84,59
"12184","ENSG00000244009",3,8,10,10,1,6,17,7,5,4
"12185","ENSG00000238427",0,0,0,0,0,0,0,0,0,0
"12186","ENSG00000186432",1952,2306,2596,1849,2496,2884,2404,1485,2235,1707
"12187","ENSG00000238741",1,0,1,0,1,3,4,28,1,1
"12188","ENSG00000229320",126,129,84,82,82,245,227,83,223,144
"12189","ENSG00000242285",0,0,1,0,0,2,0,0,0,0
"12190","ENSG00000179674",0,0,0,0,0,0,0,0,0,0
"12191","ENSG00000207084",0,0,0,0,0,0,0,0,0,0
"12192","ENSG00000260572",9,17,3,6,9,9,10,2,8,5
"12193","ENSG00000163590",109,178,124,86,148,681,268,244,252,265
"12194","ENSG00000169255",128,240,149,100,141,1107,538,305,509,345
"12195","ENSG00000169251",1192,1483,1471,1102,1487,1575,1296,699,723,672
"12196","ENSG00000271052",0,1,0,0,0,0,0,0,0,0
"12197","ENSG00000240138",0,0,0,0,0,0,0,0,0,0
"12198","ENSG00000243838",0,0,0,6,0,0,2,1,0,0
"12199","ENSG00000196542",0,1,0,1,0,0,0,0,0,0
"12200","ENSG00000240567",0,0,0,0,0,0,0,5,0,1
"12201","ENSG00000269888",0,0,0,0,0,2,0,0,0,2
"12202","ENSG00000234851",55,133,118,55,169,161,101,19,353,124
"12203","ENSG00000182447",0,0,0,0,0,0,0,1,0,0
"12204","ENSG00000288087",0,0,0,0,0,0,0,0,0,0
"12205","ENSG00000240354",0,0,0,0,0,0,0,0,0,0
"12206","ENSG00000241874",0,0,0,0,0,0,0,0,0,0
"12207","ENSG00000243044",0,0,0,0,0,0,0,0,0,0
"12208","ENSG00000241168",1,0,1,0,0,0,0,1,0,0
"12209","ENSG00000241369",1,0,0,0,0,4,0,3,0,2
"12210","ENSG00000244571",0,0,0,0,0,0,0,0,0,0
"12211","ENSG00000240792",0,0,0,0,0,0,0,0,0,0
"12212","ENSG00000238924",0,0,0,0,0,0,0,0,0,0
"12213","ENSG00000214210",0,0,0,0,0,0,0,2,0,0
"12214","ENSG00000221251",0,0,0,0,0,0,0,0,0,0
"12215","ENSG00000241636",0,0,0,0,0,0,0,1,0,0
"12216","ENSG00000241767",0,0,0,0,2,0,0,0,0,0
"12217","ENSG00000090402",0,1,0,0,0,0,1,1,0,0
"12218","ENSG00000200052",0,0,0,0,0,0,0,0,0,0
"12219","ENSG00000239205",0,0,0,0,0,0,0,0,0,0
"12220","ENSG00000121871",0,0,0,0,1,0,2,8,0,0
"12221","ENSG00000244128",1,0,0,0,0,0,0,9,0,0
"12222","ENSG00000114200",2802,7945,3838,3001,4392,1157,751,504,986,818
"12223","ENSG00000242178",0,0,0,0,0,0,0,0,0,0
"12224","ENSG00000240084",0,0,0,0,0,0,0,0,0,0
"12225","ENSG00000240824",0,0,0,0,0,0,0,1,0,0
"12226","ENSG00000242456",0,0,0,0,0,0,0,0,0,0
"12227","ENSG00000242326",0,0,0,0,0,0,0,0,0,0
"12228","ENSG00000244429",0,0,0,0,0,0,0,0,0,0
"12229","ENSG00000244321",0,0,0,0,0,0,0,0,0,0
"12230","ENSG00000274149",0,0,0,0,0,0,0,0,0,0
"12231","ENSG00000251759",0,0,0,0,0,0,0,0,0,0
