"","gene","msc_11_S11.readcounts","msc_12_S12.readcounts","msc_13_S13.readcounts","msc_14_S14.readcounts","msc_15_S15.readcounts"
"139","ENSG00000078369",13896,13129,15546,15550,13626
"140","ENSG00000231050",8,13,12,8,6
"141","ENSG00000169885",3,4,3,2,1
"142","ENSG00000178821",6,21,12,7,7
"143","ENSG00000142609",1,1,0,0,0
"144","ENSG00000233542",0,0,0,0,0
"145","ENSG00000187730",0,0,0,0,0
"146","ENSG00000226969",0,0,0,0,0
"147","ENSG00000067606",43,55,42,57,82
"148","ENSG00000271806",0,1,0,0,1
"149","ENSG00000182873",22,46,18,11,14
"150","ENSG00000162585",1157,1222,1513,1333,1257
"151","ENSG00000234396",0,0,0,0,0
"152","ENSG00000157933",2528,1622,2354,2134,2382
"153","ENSG00000287356",48,56,32,16,14
"154","ENSG00000116151",159,166,167,116,103
"155","ENSG00000272161",0,0,0,0,0
"156","ENSG00000269896",87,31,43,19,21
"157","ENSG00000272420",2,6,1,4,4
"158","ENSG00000157916",2463,2737,2841,2704,2398
"159","ENSG00000157911",685,549,825,799,825
"160","ENSG00000149527",14,23,1,2,4
"161","ENSG00000224387",0,0,0,0,0
"162","ENSG00000229393",1,0,1,0,0
"163","ENSG00000157881",832,830,975,796,872
"164","ENSG00000197921",1,5,7,3,3
"165","ENSG00000272449",112,153,349,122,182
"166","ENSG00000238164",343,447,295,186,197
"167","ENSG00000157873",5093,4816,8360,7213,8837
"168","ENSG00000225931",50,29,22,14,8
"169","ENSG00000228037",66,96,13,5,0
"170","ENSG00000157870",1508,1434,2359,2044,2553
"171","ENSG00000142606",8,18,19,11,7
"172","ENSG00000237058",0,0,0,0,0
"173","ENSG00000215912",12,13,11,8,8
"174","ENSG00000285945",0,0,0,0,0
"175","ENSG00000283259",0,0,0,0,0
"176","ENSG00000233234",0,0,0,0,0
"177","ENSG00000287396",0,0,0,0,0
"178","ENSG00000231630",0,0,0,0,0
"179","ENSG00000284745",0,0,0,0,0
"180","ENSG00000169717",0,0,0,0,0
"181","ENSG00000177133",1,0,0,0,0
"182","ENSG00000142611",8,7,8,4,10
"183","ENSG00000283572",0,0,0,0,0
"184","ENSG00000226286",0,0,0,0,0
"185","ENSG00000279839",0,0,0,0,0
"186","ENSG00000272235",1,5,0,0,0
"187","ENSG00000287828",2,2,0,2,0
"188","ENSG00000286518",0,0,0,0,0
"189","ENSG00000130762",7,2,0,1,2
"190","ENSG00000272088",1,0,0,0,0
"191","ENSG00000162591",122,18,24,64,88
"192","ENSG00000207776",0,0,0,0,0
"193","ENSG00000238260",0,0,0,0,1
"194","ENSG00000158109",1244,2002,2406,1682,1738
"195","ENSG00000116213",373,375,337,342,348
"196","ENSG00000078900",11,5,1,0,1
"197","ENSG00000227589",0,0,0,0,0
"198","ENSG00000235131",0,0,0,0,0
"199","ENSG00000227372",540,672,680,615,589
"200","ENSG00000276189",0,0,0,0,0
"201","ENSG00000162592",2,4,0,0,2
"202","ENSG00000235169",29,99,160,124,81
"203","ENSG00000130764",1376,1482,1680,1478,1366
"204","ENSG00000266075",0,1,4,3,2
"205","ENSG00000272153",6,10,7,10,14
"206","ENSG00000116198",1113,1340,1262,1264,1178
"207","ENSG00000169598",159,170,156,95,156
"208","ENSG00000198912",407,379,329,307,249
"209","ENSG00000236423",14,12,14,17,19
"210","ENSG00000233304",1,2,0,0,0
"211","ENSG00000226374",0,0,0,0,0
"212","ENSG00000284668",0,0,0,0,0
"213","ENSG00000284703",0,0,0,0,0
"214","ENSG00000229280",0,0,2,0,0
"215","ENSG00000235054",1,1,2,1,1
"216","ENSG00000284694",0,0,0,0,0
"217","ENSG00000227169",0,0,0,0,0
"218","ENSG00000232596",0,0,0,0,0
"219","ENSG00000196581",0,0,0,0,0
"220","ENSG00000287586",0,0,0,0,0
"221","ENSG00000284739",0,0,0,0,0
"222","ENSG00000284674",0,0,0,0,0
"223","ENSG00000231510",0,0,0,0,0
"224","ENSG00000284616",0,0,0,0,0
"225","ENSG00000284692",0,0,0,0,0
"226","ENSG00000284666",0,0,0,0,0
"227","ENSG00000260972",0,0,0,0,0
"228","ENSG00000283356",0,0,0,0,0
"229","ENSG00000236948",0,0,0,0,0
"230","ENSG00000264341",0,0,0,0,0
"231","ENSG00000264101",1,0,0,0,0
"232","ENSG00000131697",651,332,593,604,612
"233","ENSG00000069424",24110,30678,30533,32252,30487
"234","ENSG00000116254",2,2,1,2,2
"235","ENSG00000285629",0,0,1,0,0
"236","ENSG00000116251",1158,1766,1926,1744,1638
"237","ENSG00000226944",6,27,27,23,53
"238","ENSG00000158286",118,96,104,150,141
"239","ENSG00000116237",4605,4394,3939,4554,3453
"240","ENSG00000225077",28,76,32,57,39
