Gene_id	dsc_1	dsc_3	dsc_5	dsc_7	dsc_9	dsc_2	dsc_4	dsc_6	dsc_8	dsc_10	dsc_27	dsc_28	dsc_29	dsc_30	dsc_31
ENSG00000215790	768	318	600	173	300	1041	267	472	129	253	1464	762	1183	364	1
ENSG00000008130	776	1013	998	943	950	1224	1251	855	1012	1044	1778	1793	1544	1416	3
ENSG00000078369	11571	13469	13684	11187	13434	15133	12929	9995	15223	11544	15901	17373	17553	13811	29
ENSG00000231050	8	10	6	5	1	6	8	3	3	4	8	4	7	2	0
ENSG00000169885	5	4	2	4	2	2	2	2	0	1	45	37	15	25	0
ENSG00000178821	18	27	22	12	17	22	49	19	40	32	19	23	7	14	0
ENSG00000142609	1	1	0	1	0	0	0	0	1	1	3	2	5	1	0
ENSG00000233542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187730	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000226969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067606	96	98	113	96	99	101	77	89	93	86	178	163	163	131	0
ENSG00000271806	1	2	0	1	0	1	4	0	0	1	0	0	1	1	0
ENSG00000182873	55	100	66	89	102	72	61	42	61	57	109	92	71	80	0
ENSG00000162585	1069	1065	1083	933	1097	1468	1260	871	1351	1116	1637	1224	893	1077	0
ENSG00000234396	0	0	0	0	0	0	2	0	0	0	0	1	2	1	0
ENSG00000157933	3721	4642	4999	4327	4537	5046	5706	3946	6054	4460	4870	5272	5339	4281	7
ENSG00000287356	15	22	13	20	17	15	21	13	27	18	47	47	27	26	0
ENSG00000116151	61	91	64	69	74	89	104	44	69	63	118	127	98	118	0
ENSG00000272161	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000269896	28	34	23	30	17	31	22	15	27	11	62	53	25	42	0
ENSG00000272420	2	4	3	7	1	1	2	1	3	5	4	7	11	8	0
ENSG00000157916	2015	2227	2111	1754	2076	2624	2171	1627	2096	1812	3035	3117	2734	2525	2
ENSG00000157911	716	855	733	563	836	834	792	546	719	661	947	816	623	643	0
ENSG00000149527	5	1	2	6	0	2	7	1	1	3	11	16	12	5	0
ENSG00000224387	0	0	1	0	0	0	0	0	0	0	1	0	3	1	0
ENSG00000229393	1	0	0	0	0	0	0	0	0	1	7	1	3	4	0
ENSG00000157881	534	634	676	564	646	699	709	570	598	636	900	909	834	784	1
ENSG00000197921	0	0	5	5	1	3	2	21	0	2	5	2	10	6	0
ENSG00000272449	20	31	17	14	30	19	33	28	42	33	48	50	21	23	0
