"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"ENSG00000012504.15",0,0,0,0,0,0,0,0,0,1
"ENSG00000012660.14",2470,2305,2412,2317,2776,2473,2361,2317,2776,2450
"ENSG00000012779.11",1,0,0,0,0,0,1,0,0,0
"ENSG00000012817.15",771,1061,1162,1138,1040,891,902,944,975,964
"ENSG00000012822.16",1195,1880,1489,1408,1399,1231,1991,3037,1864,2134
"ENSG00000012963.15",692,977,1018,826,922,973,691,761,846,642
"ENSG00000012983.11",1615,1902,1893,1744,1929,1176,676,867,754,797
"ENSG00000013016.16",2003,1347,1155,806,1130,308,337,330,448,472
"ENSG00000013275.8",1580,1567,1760,1499,1755,2052,2818,2517,2202,1989
"ENSG00000013288.9",2313,2644,2827,2057,2232,2580,3054,2928,3359,3261
"ENSG00000013293.6",20,3,3,0,2,0,0,0,0,0
"ENSG00000013297.11",930,190,96,50,110,1,2,2,4,1
"ENSG00000013306.16",1743,1982,1952,1592,1843,2426,2677,3023,3173,3173
"ENSG00000013364.19",5030,5526,6329,4334,4924,5709,5740,6140,6847,5752
"ENSG00000013374.16",1023,1066,1095,975,1178,1396,1602,1504,1737,1203
"ENSG00000013375.16",2657,2806,2863,2654,2865,1002,942,797,928,887
"ENSG00000013392.8",173,181,195,176,156,141,206,190,168,177
"ENSG00000013441.16",338,379,342,389,344,225,409,423,218,160
"ENSG00000013503.10",215,155,187,153,203,310,269,296,277,233
"ENSG00000013523.10",588,694,661,580,667,680,1134,861,924,745
"ENSG00000013561.18",1067,1211,1231,1088,1102,1597,2307,2531,2297,1676
"ENSG00000013563.14",1036,1665,1143,952,930,756,1620,1898,1410,1469
"ENSG00000013573.17",208,186,492,330,273,567,391,148,412,345
"ENSG00000013583.10",274,241,224,173,255,3994,5939,10671,5562,3963
"ENSG00000013588.8",4,10,12,6,8,1186,1157,1731,659,574
"ENSG00000013619.14",901,1356,1077,994,1300,144,149,212,255,241
"ENSG00000013725.14",10,15,19,22,37,25,33,29,45,61
"ENSG00000013810.19",285,521,560,483,442,1198,187,63,617,440
"ENSG00000014123.10",723,830,832,850,865,1014,1459,1322,1185,955
"ENSG00000014138.9",116,250,211,189,229,524,60,142,384,213
"ENSG00000014164.7",610,662,711,538,670,872,794,967,912,946
"ENSG00000014216.15",3544,3793,3898,3242,3713,5264,6048,7559,6593,8657
"ENSG00000014257.16",242,19,13,0,1,1,6,0,1,0
"ENSG00000014641.19",1618,1736,1703,1513,1630,3813,4563,4385,4864,3717
"ENSG00000014824.14",1167,1355,1484,1428,1392,1808,2150,1929,1947,1413
"ENSG00000014914.21",340,547,381,418,423,89,69,88,111,88
"ENSG00000014919.12",524,727,656,667,674,1100,1211,1105,996,882
"ENSG00000015133.19",4,4,10,7,3,10,3,0,1,3
"ENSG00000015153.14",215,234,254,214,208,244,276,256,268,179
"ENSG00000015171.19",1957,2508,2421,2346,2664,1423,1728,1700,1877,1447
"ENSG00000015285.10",5,5,6,9,4,4,52,7,11,7
"ENSG00000015413.9",0,0,0,0,0,0,0,3,0,0
"ENSG00000015475.18",299,308,352,286,337,323,253,194,220,222
"ENSG00000015479.19",4472,5719,6278,6009,5828,4673,3563,4856,5161,4129
"ENSG00000015520.14",0,1,0,2,1,6,11,1,0,0
"ENSG00000015532.10",891,949,871,797,900,962,1052,1145,952,1098
"ENSG00000015568.13",8,88,11,89,107,106,106,21,93,144
"ENSG00000015592.16",0,0,0,0,0,0,1,0,0,0
"ENSG00000015676.18",1433,1871,1728,1517,1768,2275,2545,3160,2674,2515
"ENSG00000016082.15",19,1,1,0,2,0,0,0,0,0
"ENSG00000016391.11",3,4,5,5,13,17,23,13,47,44
"ENSG00000016402.13",0,0,0,0,0,0,0,0,0,0
"ENSG00000016490.15",5,4,2,4,4,0,1,0,0,0
"ENSG00000016602.9",0,0,0,0,0,0,0,0,0,0
"ENSG00000016864.18",1212,1463,1225,1254,1355,777,979,1063,956,848
"ENSG00000017260.19",3087,2979,3247,3080,3156,4213,4599,5576,5483,5297
"ENSG00000017427.16",5,8,3,0,7,7,0,10,2,7
"ENSG00000017483.15",93,26,82,32,15,14,66,43,8,0
"ENSG00000017797.13",1679,1990,1944,1614,1671,2051,2196,2297,2266,1783
"ENSG00000018189.13",263,282,252,257,267,1704,1950,1803,2134,1459
"ENSG00000018236.15",25,39,22,7,10,247,123,781,762,1099
"ENSG00000018280.17",5,8,6,4,8,13,31,28,14,7
"ENSG00000018408.14",6010,7658,7074,5778,6520,3010,2319,3019,2591,2437
"ENSG00000018510.16",1401,1648,1675,1531,1639,2486,2035,2142,2223,1898
"ENSG00000018607.6",0,0,0,0,0,0,0,0,0,0
"ENSG00000018610.14",301,294,416,344,345,452,504,585,509,438
"ENSG00000018625.15",218,548,132,208,239,0,1,0,0,0
"ENSG00000018699.13",299,276,357,351,364,378,274,566,599,748
"ENSG00000018869.16",43,52,31,45,41,68,79,84,73,78
